City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Upernavik,GL,2019-11-06 18:33:17,72.79,-56.15,21.83,95,100,5.68
71,Smithers,CA,2019-11-06 18:33:18,54.78,-127.17,32.0,86,90,11.41
72,San Quintin,PH,2019-11-06 18:33:18,17.54,120.52,72.99,98,100,4.05
73,Mahebourg,MU,2019-11-06 18:33:18,-20.41,57.7,75.2,88,40,6.93
74,Poum,MK,2019-11-06 18:33:18,41.28,20.71,62.6,67,75,41.38
75,Vaini,IN,2019-11-06 18:33:18,15.34,74.49,68.5,97,100,2.46
76,Abalak,NE,2019-11-06 18:33:18,15.46,6.28,90.73,11,6,6.58
77,Castro,CL,2019-11-06 18:33:19,-42.48,-73.76,53.6,99,90,6.93
78,Klaksvik,FO,2019-11-06 18:33:19,62.23,-6.59,33.8,86,55,5.82
79,Chuy,UY,2019-11-06 18:33:19,-33.69,-53.46,70.2,51,0,5.59
80,Leshukonskoye,RU,2019-11-06 18:33:19,64.9,45.76,18.57,97,81,2.95
81,Muros,ES,2019-11-06 18:33:19,42.77,-9.06,60.01,100,75,5.82
82,Saldanha,PT,2019-11-06 18:33:19,41.42,-6.55,48.69,86,91,7.54
83,Rio Grande,BR,2019-11-06 18:33:19,-32.03,-52.1,75.2,44,0,12.75
84,Akureyri,IS,2019-11-06 18:33:20,65.68,-18.09,26.6,86,75,6.93
85,Mumbwa,ZM,2019-11-06 18:33:20,-14.99,27.06,77.04,34,64,5.88
86,Manta,RO,2019-11-06 18:33:20,45.1,24.1,54.01,91,100,1.99
87,Champerico,MX,2019-11-06 18:33:20,16.38,-93.6,86.0,55,40,6.33
88,Marihatag,PH,2019-11-06 18:33:20,8.8,126.3,80.78,81,67,7.34
89,Pevek,RU,2019-11-06 18:33:20,69.7,170.27,23.31,81,100,3.71
90,Chokurdakh,RU,2019-11-06 18:33:21,70.62,147.9,4.01,95,100,5.37
91,Lavrentiya,RU,2019-11-06 18:33:21,65.58,-170.99,25.07,81,11,13.87
92,Kwinana,AU,2019-11-06 18:33:21,-32.25,115.77,64.4,76,58,5.82
93,Tiksi,RU,2019-11-06 18:33:21,71.64,128.87,-11.01,97,91,3.51
94,Tasiilaq,GL,2019-11-06 18:33:21,65.61,-37.64,28.4,58,40,11.41
95,Qaanaaq,GL,2019-11-06 18:33:22,77.48,-69.36,1.83,58,0,7.99
96,Xiongzhou,CN,2019-11-06 18:33:22,32.34,118.83,61.0,72,97,4.47
97,Yellandu,IN,2019-11-06 18:33:22,17.59,80.32,72.91,86,86,2.06
98,Port Moresby,PG,2019-11-06 18:29:43,-9.47,147.16,78.75,85,100,20.96
99,Phoenix,US,2019-11-06 18:30:41,33.45,-112.08,81.0,26,40,8.05
100,Atuona,PF,2019-11-06 18:33:22,-9.8,-139.03,80.56,77,33,20.94
101,Gonbad-E Qabus,IR,2019-11-06 18:29:20,37.25,55.17,51.8,76,55,3.18
102,Ternate,PH,2019-11-06 18:33:23,14.29,120.72,77.0,88,90,2.24
103,Cidreira,BR,2019-11-06 18:33:23,-30.17,-50.22,67.84,63,0,13.6
104,Cambridge,CA,2019-11-06 18:33:23,43.39,-80.31,42.01,55,90,12.75
105,Balikpapan,ID,2019-11-06 18:33:23,-1.24,116.86,74.3,94,70,2.55
106,Camapua,BR,2019-11-06 18:33:23,-19.53,-54.04,96.48,33,97,5.91
107,Carnarvon,ZA,2019-11-06 18:33:23,-30.97,22.13,63.61,23,12,21.94
108,Kavieng,PG,2019-11-06 18:33:23,-2.57,150.8,81.77,79,100,13.27
109,Puerto Ayora,EC,2019-11-06 18:33:24,-0.74,-90.35,80.6,57,40,19.46
110,San Patricio,PY,2019-11-06 18:33:24,-26.98,-56.83,90.36,42,32,4.38
111,La Asuncion,AR,2019-11-06 18:33:24,-26.05,-65.39,66.99,69,99,3.98
112,Tuktoyaktuk,CA,2019-11-06 18:33:24,69.44,-133.03,21.2,85,90,9.17
113,Lompoc,US,2019-11-06 18:33:24,34.64,-120.46,71.01,82,1,5.82
114,Lakes Entrance,AU,2019-11-06 18:33:25,-37.88,147.99,55.99,70,81,1.01
115,Kamaishi,JP,2019-11-06 18:33:25,39.28,141.86,43.29,78,50,5.95
116,Rizhao,CN,2019-11-06 18:33:25,35.43,119.46,51.76,61,100,3.98
117,Bama,CN,2019-11-06 18:33:26,24.14,107.25,59.99,79,25,2.84
118,Mnogovershinnyy,RU,2019-11-06 18:33:26,53.94,139.92,14.67,92,100,7.52
119,Hobyo,SO,2019-11-06 18:33:26,5.35,48.53,80.74,75,71,9.89
120,Port Alfred,ZA,2019-11-06 18:33:27,-33.59,26.89,64.99,90,91,3.0
121,Igrim,RU,2019-11-06 18:33:27,63.19,64.42,25.02,95,100,11.77
122,Kaitangata,NZ,2019-11-06 18:33:27,-46.28,169.85,51.01,98,100,1.01
123,Nikolskoye,RU,2019-11-06 18:33:27,59.7,30.79,30.2,68,100,13.42
124,Lotofaga,WS,2019-11-06 18:33:27,-13.98,-171.86,80.92,77,18,12.19
125,Lebu,ET,2019-11-06 18:33:27,8.96,38.73,59.0,51,40,9.17
126,Sonamura,IN,2019-11-06 18:33:28,23.47,91.27,69.26,85,47,4.07
127,Mudanya,TR,2019-11-06 18:33:28,40.38,28.88,71.6,72,31,2.24
128,Vila Velha,BR,2019-11-06 18:33:28,-3.71,-38.6,86.0,62,20,17.22
129,Palamas,GR,2019-11-06 18:33:28,39.47,22.08,60.8,77,75,5.82
130,Little Current,CA,2019-11-06 18:33:28,45.98,-81.93,32.0,82,90,14.99
131,Launceston,AU,2019-11-06 18:33:29,-41.43,147.14,46.0,80,75,11.41
132,Severo-Kurilsk,RU,2019-11-06 18:33:29,50.68,156.12,33.21,92,97,7.16
133,Yellowknife,CA,2019-11-06 18:30:08,62.45,-114.38,10.4,85,20,5.82
134,Dingle,PH,2019-11-06 18:33:29,11.0,122.67,74.34,91,98,7.11
135,Dongsheng,CN,2019-11-06 18:33:29,29.72,112.52,62.06,59,100,5.79
136,Waipawa,NZ,2019-11-06 18:33:29,-39.94,176.59,53.01,92,100,1.43
137,Salalah,OM,2019-11-06 18:33:29,17.01,54.1,82.4,78,6,0.81
138,Torbay,CA,2019-11-06 18:33:30,47.66,-52.73,48.99,100,90,24.16
139,Yar-Sale,RU,2019-11-06 18:33:30,66.83,70.83,8.82,88,57,4.23
140,New Norfolk,AU,2019-11-06 18:33:31,-42.78,147.06,44.6,70,75,16.11
141,Auki,NG,2019-11-06 18:33:31,12.18,6.51,83.3,23,17,4.83
