City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
94,Ust-Maya,RU,2019-11-08 19:11:25,60.42,134.54,-17.09,95,65,2.19,broken clouds,0.0,0.0
95,Richards Bay,ZA,2019-11-08 19:10:37,-28.77,32.06,71.04,72,100,15.86,light rain,0.31,0.0
96,Banjar,ID,2019-11-08 19:12:39,-7.37,108.54,71.2,83,27,1.14,scattered clouds,0.0,0.0
97,Muri,CH,2019-11-08 19:12:40,46.93,7.49,43.0,93,90,1.99,overcast clouds,0.0,0.0
98,Dabakala,CI,2019-11-08 19:12:40,8.36,-4.43,80.89,63,55,1.14,broken clouds,0.0,0.0
99,Vaini,IN,2019-11-08 19:09:59,15.34,74.49,66.7,97,28,1.9,scattered clouds,0.0,0.0
100,Kutum,SD,2019-11-08 19:12:40,14.2,24.66,76.08,16,0,6.91,clear sky,0.0,0.0
101,Coihaique,CL,2019-11-08 19:10:37,-45.58,-72.07,60.8,26,100,5.82,overcast clouds,0.0,0.0
102,Hambantota,LK,2019-11-08 19:12:41,6.12,81.12,78.8,100,40,5.82,scattered clouds,0.0,0.0
103,Pemberton,AU,2019-11-08 19:12:41,-34.44,116.03,61.0,71,0,3.0,clear sky,0.0,0.0
104,Voi,KE,2019-11-08 19:12:41,-3.4,38.57,73.45,79,9,6.87,clear sky,0.0,0.0
105,Conceicao Da Barra,BR,2019-11-08 19:12:41,-18.59,-39.73,78.98,77,3,21.43,clear sky,0.0,0.0
106,Creston,CA,2019-11-08 19:12:41,49.1,-116.52,42.01,60,1,1.92,clear sky,0.0,0.0
107,Meulaboh,ID,2019-11-08 19:10:31,4.14,96.13,80.65,77,82,3.91,broken clouds,0.0,0.0
108,Dikson,RU,2019-11-08 19:10:15,73.51,80.55,-3.16,97,49,12.21,scattered clouds,0.0,0.0
109,Cap Malheureux,MU,2019-11-08 19:12:42,-19.98,57.61,71.6,73,20,5.82,few clouds,0.0,0.0
110,Russell,US,2019-11-08 19:10:48,38.9,-98.86,55.0,24,1,20.8,clear sky,0.0,0.0
111,Chuy,UY,2019-11-08 19:09:52,-33.69,-53.46,69.82,70,0,11.18,clear sky,0.0,0.0
112,Kupang,ID,2019-11-08 19:12:43,-10.16,123.6,81.43,77,0,12.28,clear sky,0.0,0.0
113,Shipitsyno,RU,2019-11-08 19:12:43,61.28,46.52,5.63,94,53,4.03,broken clouds,0.0,0.0
114,Ketchikan,US,2019-11-08 19:09:59,55.34,-131.65,51.8,81,90,8.05,heavy intensity rain,0.0,0.0
115,Kuala Kangsar,MY,2019-11-08 19:12:43,4.77,100.94,78.8,83,75,2.24,broken clouds,0.0,0.0
116,Kinango,KE,2019-11-08 19:12:43,-4.13,39.32,80.6,83,20,3.36,few clouds,0.0,0.0
117,Cairns,AU,2019-11-08 19:12:44,-16.92,145.77,69.01,93,1,3.56,clear sky,0.0,0.0
118,Saint-Philippe,CA,2019-11-08 19:10:27,45.36,-73.48,33.01,68,90,16.11,light snow,0.0,0.0
119,Fagernes,NO,2019-11-08 19:12:44,60.99,9.24,17.01,93,0,3.44,clear sky,0.0,0.0
120,Puerto Ayora,EC,2019-11-08 19:10:09,-0.74,-90.35,78.8,61,75,9.17,broken clouds,0.0,0.0
121,Buchanan,LR,2019-11-08 19:12:44,5.88,-10.05,78.8,88,75,4.34,broken clouds,0.0,0.0
122,Sola,TZ,2019-11-08 19:10:11,-3.17,33.8,77.43,37,41,9.04,scattered clouds,0.0,0.0
123,Big Spring,US,2019-11-08 19:11:47,32.25,-101.48,48.99,81,90,2.71,overcast clouds,0.0,0.0
124,Akureyri,IS,2019-11-08 19:12:44,65.68,-18.09,26.6,79,20,16.11,few clouds,0.0,0.0
125,Saurimo,AO,2019-11-08 19:12:45,-9.66,20.4,69.62,77,85,5.28,overcast clouds,0.0,0.0
126,Shieli,KZ,2019-11-08 19:12:45,44.18,66.74,43.39,42,19,2.62,few clouds,0.0,0.0
127,Saint-Augustin,CA,2019-11-08 19:10:19,45.63,-73.98,33.01,68,90,16.11,light snow,0.0,0.0
128,Alta Floresta,BR,2019-11-08 19:12:45,-9.87,-56.08,91.15,46,93,5.59,overcast clouds,0.0,0.0
129,Viedma,AR,2019-11-08 19:09:55,-40.81,-62.99,62.85,36,100,15.41,overcast clouds,0.0,0.0
130,San Policarpo,PH,2019-11-08 19:12:46,12.18,125.51,77.34,92,2,5.61,clear sky,0.0,0.0
131,Arraial Do Cabo,BR,2019-11-08 19:11:03,-22.97,-42.02,80.6,74,75,12.75,broken clouds,0.0,0.0
132,Katsuura,JP,2019-11-08 19:10:36,33.93,134.5,48.2,87,20,9.17,few clouds,0.0,0.0
133,Atuona,PF,2019-11-08 19:09:57,-9.8,-139.03,79.95,78,3,14.52,clear sky,0.0,0.0
134,Severo-Kurilsk,RU,2019-11-08 19:09:59,50.68,156.12,28.58,78,88,13.04,light snow,0.0,0.19
135,Miraflores,PE,2019-11-08 19:12:47,-16.39,-71.52,73.4,22,0,16.11,clear sky,0.0,0.0
136,Kapaa,US,2019-11-08 19:06:24,22.08,-159.32,71.6,73,1,5.82,clear sky,0.0,0.0
137,Zonguldak,TR,2019-11-08 19:12:47,41.25,31.83,54.81,44,45,4.45,scattered clouds,0.0,0.0
138,Nantucket,US,2019-11-08 19:11:04,41.28,-70.1,39.0,37,75,19.46,broken clouds,0.0,0.0
139,Vanimo,PG,2019-11-08 19:09:05,-2.67,141.3,82.02,71,100,4.59,overcast clouds,0.0,0.0
140,Nizhneangarsk,RU,2019-11-08 19:12:48,55.78,109.57,19.6,97,98,6.08,light snow,0.0,0.25
141,Bilma,NE,2019-11-08 19:12:49,18.69,12.92,82.8,14,0,9.22,clear sky,0.0,0.0
142,Dunedin,NZ,2019-11-08 19:10:26,-45.87,170.5,54.16,80,67,2.89,broken clouds,0.0,0.0
143,Adelaide,AU,2019-11-08 19:08:34,-34.93,138.6,55.0,62,75,4.7,broken clouds,0.0,0.0
144,Berezovyy,RU,2019-11-08 19:12:50,51.67,135.7,10.53,53,22,6.51,few clouds,0.0,0.0
145,Jishu,CN,2019-11-08 19:12:52,44.29,126.79,24.33,45,25,4.21,scattered clouds,0.0,0.0
146,Cherskiy,RU,2019-11-08 19:10:17,68.75,161.3,9.5,70,14,3.69,few clouds,0.0,0.0
147,Kirkkonummi,FI,2019-11-08 19:12:53,60.12,24.44,41.0,100,75,6.93,light intensity drizzle rain,0.0,0.0
148,Purpe,RU,2019-11-08 19:12:53,64.48,76.69,-5.01,84,80,15.73,broken clouds,0.0,0.0
149,Slonim,BY,2019-11-08 19:12:53,53.09,25.32,47.35,87,100,8.57,overcast clouds,0.0,0.0
150,Ponta Do Sol,BR,2019-11-08 19:10:32,-20.63,-46.0,79.11,72,68,4.32,moderate rain,3.81,0.0
151,Tuktoyaktuk,CA,2019-11-08 19:09:53,69.44,-133.03,5.0,84,90,6.93,light snow,0.0,0.0
152,Chernyshevskiy,RU,2019-11-08 19:12:54,63.01,112.47,10.31,94,100,7.94,light snow,0.0,0.5
153,Guinope,HN,2019-11-08 19:12:54,13.88,-86.93,73.4,73,75,11.41,broken clouds,0.0,0.0
154,Obregon,NI,2019-11-08 19:12:54,11.96,-85.96,91.4,55,40,11.41,light intensity drizzle,0.0,0.0
155,Matara,BI,2019-11-08 19:12:54,-3.48,29.48,60.48,87,92,5.7,light rain,0.38,0.0
156,Komsomolskiy,RU,2019-11-08 19:11:17,67.55,63.78,4.87,96,88,7.4,light snow,0.0,0.19
157,Avarua,CK,2019-11-08 19:09:56,-21.21,-159.78,73.4,83,74,9.17,light rain,2.19,0.0
158,Salinopolis,BR,2019-11-08 19:10:11,-0.61,-47.36,82.67,77,25,13.15,scattered clouds,0.0,0.0
159,Esperance,AU,2019-11-08 19:09:52,-33.86,121.89,51.8,81,0,10.29,clear sky,0.0,0.0
160,Kununurra,AU,2019-11-08 19:12:56,-15.77,128.74,77.0,78,0,3.36,clear sky,0.0,0.0
161,Badnawar,IN,2019-11-08 19:12:56,23.02,75.23,75.2,73,40,4.7,haze,0.0,0.0
162,Fortuna,US,2019-11-08 19:10:00,40.6,-124.16,54.0,100,90,4.7,overcast clouds,0.0,0.0
163,Mayor Pablo Lagerenza,PY,2019-11-08 19:12:57,-19.93,-60.77,95.88,32,98,6.64,overcast clouds,0.0,0.0
164,Dalvik,SE,2019-11-08 19:12:57,57.79,14.13,41.0,93,75,6.93,broken clouds,0.0,0.0
165,Porto Novo,BR,2019-11-08 19:10:42,-23.68,-45.44,73.4,83,75,2.24,mist,0.0,0.0
166,Longyearbyen,NO,2019-11-08 19:09:50,78.22,15.63,30.2,58,75,28.86,broken clouds,0.0,0.0
167,Matamoros,US,2019-11-08 19:12:57,25.87,-97.51,59.0,67,90,14.99,overcast clouds,0.0,0.0
168,Hithadhoo,MV,2019-11-08 19:10:21,-0.6,73.08,82.8,68,60,5.32,broken clouds,0.0,0.0
169,Sao Joao Da Barra,BR,2019-11-08 19:11:00,-21.64,-41.05,89.6,55,20,16.11,few clouds,0.0,0.0
170,Madinat Sittah Uktubar,EG,2019-11-08 19:12:58,29.82,31.05,77.0,69,0,5.82,haze,0.0,0.0
171,Fomboni,KM,2019-11-08 19:12:58,-12.28,43.74,81.81,78,70,2.98,broken clouds,0.0,0.0
172,Beipiao,CN,2019-11-08 19:12:58,41.8,120.76,37.9,53,43,2.64,scattered clouds,0.0,0.0
173,Mukhen,RU,2019-11-08 19:12:59,48.19,136.14,14.99,65,0,8.28,clear sky,0.0,0.0
174,Agustin Codazzi,CO,2019-11-08 19:12:59,10.03,-73.24,95.0,41,40,11.41,scattered clouds,0.0,0.0
175,Bereznik,RU,2019-11-08 19:12:59,62.86,42.71,16.3,88,99,6.69,overcast clouds,0.0,0.0
176,Sokoni,CD,2019-11-08 19:12:59,-12.89,28.78,71.42,52,51,5.35,broken clouds,0.0,0.0
177,Beringovskiy,RU,2019-11-08 19:09:55,63.05,179.32,22.64,93,87,17.2,overcast clouds,0.0,0.0
178,Russkiy Kameshkir,RU,2019-11-08 19:13:00,52.86,46.09,37.65,92,96,13.6,light rain,1.06,0.0
179,Huautla,MX,2019-11-08 19:13:01,21.03,-98.29,68.43,93,81,6.02,light rain,1.13,0.0
180,Kaohsiung,TW,2019-11-08 19:13:01,22.62,120.31,70.0,73,75,4.7,broken clouds,0.0,0.0
181,Muzhi,RU,2019-11-08 19:13:02,65.4,64.7,5.63,80,0,10.4,clear sky,0.0,0.0
182,Kuala Lipis,MY,2019-11-08 19:13:02,4.19,102.05,72.01,93,100,1.41,overcast clouds,0.0,0.0
183,Inhambane,MZ,2019-11-08 19:10:52,-23.87,35.38,80.6,83,40,6.93,scattered clouds,0.0,0.0
184,Codrington,AU,2019-11-08 19:10:29,-28.95,153.24,69.8,72,90,11.41,overcast clouds,0.0,0.0
185,San Quintin,PH,2019-11-08 19:13:03,17.54,120.52,73.33,91,87,6.38,light rain,0.75,0.0
186,Caravelas,BR,2019-11-08 19:11:18,-17.73,-39.27,83.91,58,17,16.04,few clouds,0.0,0.0
187,Bonavista,CA,2019-11-08 19:11:18,48.65,-53.11,46.99,86,100,5.01,light rain,0.38,0.0
188,Blagoyevo,RU,2019-11-08 19:10:18,63.37,47.92,12.36,94,94,4.94,overcast clouds,0.0,0.0
189,Saint-Pierre,FR,2019-11-08 19:11:23,48.95,4.24,42.8,81,11,2.24,few clouds,0.0,0.0
190,Saldanha,PT,2019-11-08 19:10:40,41.42,-6.55,43.81,74,0,9.48,clear sky,0.0,0.0
191,Bafq,IR,2019-11-08 19:13:04,31.6,55.4,54.19,16,23,8.21,few clouds,0.0,0.0
192,Iqaluit,CA,2019-11-08 19:07:59,63.75,-68.52,10.4,78,40,3.36,scattered clouds,0.0,0.0
193,Fountain,US,2019-11-08 19:10:44,38.68,-104.7,62.01,20,1,6.93,clear sky,0.0,0.0
194,Broken Hill,AU,2019-11-08 19:13:04,-31.97,141.45,46.4,61,0,13.87,clear sky,0.0,0.0
195,Vardo,US,2019-11-08 19:13:05,39.62,-77.74,41.0,44,90,14.99,overcast clouds,0.0,0.0
196,Nanortalik,GL,2019-11-08 19:09:01,60.14,-45.24,36.36,70,47,5.75,scattered clouds,0.0,0.0
197,Ambatondrazaka,MG,2019-11-08 19:13:05,-17.82,48.43,61.12,98,30,3.71,scattered clouds,0.0,0.0
198,Killybegs,IE,2019-11-08 19:13:06,54.63,-8.45,39.99,89,63,10.0,broken clouds,0.0,0.0
199,Komatipoort,MZ,2019-11-08 19:13:06,-25.43,31.96,66.99,83,100,10.94,overcast clouds,0.0,0.0
200,Margate,AU,2019-11-08 19:11:49,-43.03,147.26,42.8,70,40,14.99,scattered clouds,0.0,0.0
201,Galveston,US,2019-11-08 19:11:13,40.58,-86.19,36.0,50,1,4.7,clear sky,0.0,0.0
202,Clyde River,CA,2019-11-08 19:09:31,70.47,-68.59,21.2,73,90,6.93,light snow,0.0,0.0
203,Praia Da Vitoria,PT,2019-11-08 19:10:01,38.73,-27.07,68.0,72,20,5.1,few clouds,0.0,0.0
204,Namibe,AO,2019-11-08 19:11:37,-15.19,12.15,73.0,84,81,9.69,broken clouds,0.0,0.0
205,Newport,GB,2019-11-08 19:07:23,51.59,-3.0,45.0,60,18,9.17,few clouds,0.0,0.0
206,Natal,BR,2019-11-08 19:13:07,-5.81,-35.21,86.0,55,40,21.92,scattered clouds,0.0,0.0
207,Lethem,GY,2019-11-08 19:10:28,3.38,-59.8,96.48,36,12,8.21,few clouds,0.0,0.0
208,Panama City,US,2019-11-08 19:13:08,30.16,-85.65,64.4,72,90,9.17,overcast clouds,0.0,0.0
209,Nadym,RU,2019-11-08 19:11:14,65.53,72.51,-3.19,96,45,15.28,scattered clouds,0.0,0.0
210,Werda,BW,2019-11-08 19:13:08,-25.27,23.28,89.64,11,60,7.45,broken clouds,0.0,0.0
211,Port Keats,AU,2019-11-08 19:13:08,-14.25,129.55,83.1,74,55,9.91,broken clouds,0.0,0.0
212,Davila,PH,2019-11-08 19:13:09,18.47,120.58,75.2,94,90,6.93,light rain,0.0,0.0
213,Lander,US,2019-11-08 19:13:09,42.83,-108.73,59.0,19,1,4.7,clear sky,0.0,0.0
214,Quatre Cocos,MU,2019-11-08 19:13:09,-20.21,57.76,69.8,77,20,3.36,few clouds,0.0,0.0
215,Provideniya,RU,2019-11-08 19:09:53,64.42,-173.23,23.18,96,82,12.28,snow,0.0,1.81
216,Presidencia Roque Saenz Pena,AR,2019-11-08 19:05:47,-26.79,-60.44,97.45,23,0,4.25,clear sky,0.0,0.0
217,Meiganga,CM,2019-11-08 19:13:10,6.52,14.29,71.91,66,62,4.85,broken clouds,0.0,0.0
218,Tiarei,PF,2019-11-08 19:13:10,-17.53,-149.33,84.2,70,75,6.93,broken clouds,0.0,0.0
219,Lagoa,PT,2019-11-08 19:11:20,37.14,-8.45,59.0,44,0,11.41,clear sky,0.0,0.0
220,Itanhaem,BR,2019-11-08 19:13:10,-24.18,-46.79,75.2,88,90,2.24,overcast clouds,0.0,0.0
221,Waipawa,NZ,2019-11-08 19:13:11,-39.94,176.59,54.79,92,0,2.06,clear sky,0.0,0.0
222,Airai,TL,2019-11-08 19:10:35,-8.93,125.41,66.54,75,7,3.02,clear sky,0.0,0.0
223,Vao,EE,2019-11-08 19:10:49,59.1,26.19,35.28,96,100,6.11,overcast clouds,0.0,0.0
224,Honiara,SB,2019-11-08 19:13:12,-9.43,159.96,73.4,100,20,2.24,few clouds,0.0,0.0
225,Lakes Entrance,AU,2019-11-08 19:13:12,-37.88,147.99,44.01,80,0,24.58,light rain,0.31,0.0
226,Khovu-Aksy,RU,2019-11-08 19:13:12,51.13,93.72,27.99,80,50,6.38,scattered clouds,0.0,0.0
227,Torbay,CA,2019-11-08 19:06:41,47.66,-52.73,48.2,87,90,21.92,overcast clouds,0.0,0.0
228,Avanigadda,IN,2019-11-08 19:13:13,16.02,80.92,75.2,83,83,4.79,mist,0.0,0.0
229,Teruel,ES,2019-11-08 19:13:13,40.34,-1.11,55.4,52,50,16.11,scattered clouds,0.0,0.0
230,Coahuayana,MX,2019-11-08 19:10:42,18.62,-100.35,87.31,57,0,1.81,clear sky,0.0,0.0
231,Pueblo Nuevo,AR,2019-11-08 19:13:13,-32.93,-68.73,87.8,22,20,11.41,few clouds,0.0,0.0
